"Order Number","Order Status","Order Total","Sales Tax",Discounts,Shipping,"# of Items","Shipping State","Customer Name","Customer Email","Order Date","Invoice Date","Ship Date","Invoice #","Total (Invoiced)Paid","Shipment Cost",Warehouse,"Order Type"
9100357759,payment_accepted,109.3800,1.2300,0.0000,14.4000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-01-28 17:32:56",,,,,,,Onetime
9100357760,payment_accepted,107.3500,0.0000,0.0000,13.6000,2.0000,Alabama,"sangeetha vulli",salla@skinsolutions.md,"2021-01-28 17:38:17",,,,,,,Onetime
9100357761,payment_accepted,106.5000,0.0000,0.0000,12.7500,2.0000,Arizona,"sangeetha vulli",salla@skinsolutions.md,"2021-01-28 17:58:53",,,,,,,Onetime
9100357762,payment_accepted,109.6900,2.3400,0.0000,13.6000,2.0000,Illinois,"sangeetha vulli",salla@skinsolutions.md,"2021-01-28 18:15:20",,,,,,,Onetime
9100357763,payment_accepted,109.3800,1.2300,0.0000,14.4000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-01-28 20:33:02",,,,,,,Onetime
9100357764,payment_accepted,109.3800,1.2300,0.0000,14.4000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-01-29 00:51:43",,,,,,,Onetime
9100357765,canceled,103.2400,3.0400,0.0000,0.0000,3.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-01-29 09:54:35",,,,,,,Onetime
9100357766,payment_accepted,76.5000,0.0000,0.0000,0.0000,2.0000,California,"Usha Rani",usha@skinsolutions.md,"2021-01-29 11:48:51",,,,,,,Onetime
9100357767,payment_accepted,180.0900,0.0900,0.0000,0.0000,2.0000,California,"Usha Rani",usha@skinsolutions.md,"2021-02-05 20:23:26",,,,,,,Onetime
9100357768,payment_accepted,29.8400,2.5900,0.0000,0.0000,2.0000,California,"Usha Rani",usha@skinsolutions.md,"2021-02-05 20:32:44",,,,,,,Onetime
9100357769,pending_payment,93.7500,0.0000,0.0000,0.0000,2.0000,Florida,"sa alla",saalla@test.com,"2021-02-08 14:48:56",,,,,,,Onetime
9100357765-1,pending_payment,51.4400,4.0400,0.0000,14.4000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-08 15:01:17",,,,,,,Onetime
9100357770,payment_accepted,36.1300,3.1300,0.0000,0.0000,2.0000,California,"sangeetha vulli",salla@skinsolutions.md,"2021-02-08 15:09:31",,,,,,,Onetime
9100357771,payment_accepted,446.2300,4.7300,0.0000,11.2500,6.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-08 15:25:11",,,,,,,Onetime
9100357772,payment_accepted,318.9400,17.2400,0.0000,19.7000,4.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-08 19:13:08",,,,,,,Onetime
9100357773,payment_accepted,269.0800,0.0800,0.0000,0.0000,3.0000,California,"Mahendra J",mahendra@skinsolutions.md,"2021-02-08 20:05:59",,,,,,,Onetime
9100357774,payment_accepted,1138.7800,41.2300," -22.4000",0.0000,11.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-09 09:15:45",,,,,,,Onetime
9100357775,payment_accepted,179.0000,0.0000,0.0000,0.0000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-09 18:59:09",,,,,,,Onetime
9100357776,pending_payment,99.8200,7.8200,0.0000,0.0000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-09 19:29:02",,,,,,,Onetime
9100357777,payment_accepted,175.0000,0.0000,0.0000,0.0000,2.0000,Texas,"Venkat Dhurjati",vdhurjati@skinsolutions.md,"2021-02-10 04:30:31",,,,,,,Onetime
9100357778,pending_payment,99.8200,7.8200,0.0000,0.0000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-10 11:50:43",,,,,,,Onetime
9100357779,pending_payment,48.0200,3.7700,0.0000,0.0000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-10 17:16:29",,,,,,,Onetime
9100357780,pending_payment,73.6400,4.6400,0.0000,12.7500,2.0000,California,"mahendra2507 j",mahendra2507@mailinator.com,"2021-02-10 18:04:44",,,,,,,Onetime
9100357781,payment_accepted,65.5900,0.0900,0.0000,0.0000,2.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-10 19:08:19",,,,,,,Onetime
9100357782,pending_payment,60.8900,4.6400,0.0000,0.0000,2.0000,California,"mahendra2507 j",mahendra2507@mailinator.com,"2021-02-10 19:17:08",,,,,,,Onetime
9100357783,pending_payment,73.6400,4.6400,0.0000,12.7500,2.0000,California,"mahendra2507 j",mahendra2507@mailinator.com,"2021-02-10 19:27:45",,,,,,,Onetime
9100357784,pending_payment,94.0700,7.3700,0.0000,0.0000,2.0000,Florida,"sa sa",sangeethaeadmin@test.com,"2021-02-10 21:07:24",,,,,,,Onetime
9100357785,payment_accepted,185.2000,9.0500,0.0000,14.4000,4.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-15 13:45:11",,,,,,,Onetime
9100357786,pending_payment,94.0700,7.3700,0.0000,0.0000,2.0000,Florida,"sa sa",sanest@test.com,"2021-02-15 18:26:28",,,,,,,Onetime
9100357787,payment_accepted,734.7200,57.5800,0.0000,24.9000,7.0000,Florida,"sangeetha vulli",salla@skinsolutions.md,"2021-02-16 20:41:19",,,,,,,Onetime
9100357788,payment_accepted,95.2500,0.0000,0.0000,0.0000,3.0000,California,"test test",stagetest22@example.com,"2021-02-19 06:33:06",,,,,,,Onetime
9100357789,payment_accepted,179.0000,0.0000,0.0000,0.0000,2.0000,California,"test test",stagetest22@example.com,"2021-02-19 06:39:56",,,,,,,Onetime
9100357790,payment_accepted,179.0000,0.0000,0.0000,0.0000,2.0000,California,"test test",stagetest22@example.com,"2021-02-19 06:45:14",,,,,,,Onetime
9100357791,payment_accepted,179.0000,0.0000,0.0000,0.0000,2.0000,California,"test test",stagetest22@example.com,"2021-02-19 06:47:38",,,,,,,Onetime
9100357792,payment_accepted,179.0000,0.0000,0.0000,0.0000,2.0000,California,"test test",stagetest22@example.com,"2021-02-19 06:55:34",,,,,,,Onetime
